id,cor_sentence
grm2209210114055,내가 어느 부분에 취약한지 알고 더 신경을 써야 해요!
grm2208240059312,청일전쟁 끝나고 일본 간섭이 심할 때 일어난 건가요?
grm2208190081670,역할 행동의 명확한 판단 기준이 있는 건가요?
grm2208010061545,판서에는 조금 다르게 적혀 있는 것 같아서요.
grm2206140089842,금융인 또한 되는지 궁금합니다.
grm2209080075021,왜 아닌지 잘 모르겠습니다.
grm2208170091482,"이런 제 판단엔 뭐가 잘못됐고, 어떻게 고칠 수 있을까요?"
grm2207080008873,올리자마자 댓글 달아놨는데 아직 하나도 안 읽었잖아요.
grm2209220115980,답안지가 나올 텐데 말이에요.
grm2209020084866,"골랐는데요, 이렇게 구하면 오류가 될 수 있나요?"
grm2210130102061,진짜 열심히 한 사람 떨어지고요.
grm2209300100450,엄마한테 따로 먼저 말씀드려서 아빠한테 밑밥을 좀 깔아놓는 게 좋을 거 같아.
grm2208020042398,지문 안 일 거고 밑줄 보고 필요하면 발췌해도 된다고 하셨는데요.
grm2210140114366,공부하고 있는 중입니다.
grm2206290016530,제대로 된 연구를 하려면 석사 박사는 따야 한다고 저도 들었어요!
grm2210050106555,다음 학기까지의 계획을 세워 보자.
grm2206280014300,"특히 단어를 대충 아, 이런 느낌이었던 것 같은데... 이런 식으로 해석하게 돼요."
grm2208220050007,가법 혼합으로 색이 혼합될수록 채도가 낮아진다는 정보를 초점화해서 받아들여야 한다.
grm2209270099254,그리고 나한테는 법 관련되는 일이 잘 맞는 거 같아.
grm2209160102180,나처럼 다 못해 간 사람도 없는 듯하던데요.
grm2209060042923,그럼 이런 부분도 전지적 시점이 혼재된 것으로 볼 수 있나요?
grm2207010013073,입학 취소 어쩌고 하는데 난 이미 나와 버린 걸.
grm2208090077407,혹시 답변하시지 않는 이유라도 있나요?
grm2206270024475,정확하게 가는 길을 택할 것 같습니다.
grm2209230112074,저는 현역 때 국어 기출을 제대로 보지 않은 걸 진짜 후회했었어요.
grm2207130016822,이제 슬슬 우승할 때 됐죠.
grm2208080043967,왜 가법 혼합을 하면 광량이 많아져 명도가 높아질 것이라 생각했는지가 궁금합니다.
grm2208300066765,제가 물리 에 대해서 전혀 모르는 상태에서 매번 새로운 것을 받아들이는 공부를 하고 있습니다.
grm2206170086524,그리고 답변 주시는 속도도 엄청 빨라서 놀랐어요.
grm2207120000559,그런데 머리에 피도 안 마른 게 따박따박 반말이야.
grm2206230024690,보고 있으면 잠이 깨네요.
grm2210130105494,지하철 안전 거래를 먼저 제안하네요.
grm2207270012454,도중에 영상을 내리게 되면 정산이 불가능한지 묻는 것 같아요.
grm2210110113111,개념 설명해 주시는 부분 강의를 듣고 문제는 제가 먼저 푼 후 문제풀이 강의를 들어요.
grm2208100074102,물론 교재 구입은 했습니다.
grm2208190089422,부작용에 대해 제대로 설명하지 않고 동의를 얻은 경우 자발적인 참여라고 보기 힘들다고...
grm2208020073863,고유 시간보다 짧게 측정되는 시간이 있어서요. 쉽게 설명해 주시면 감사하겠습니다.
grm2207290022044,"내 기분에 지속적인 영향을 미치게 두는 건, 절대 당연하지 않아요."
grm2207010026291,외국에서 성적 확 올리기 진짜 힘든데 진짜 대단하다.
grm2206270001489,이때 해당 부분을 빨리 찾는 건 계속 연습하는 수밖에 없죠.
grm2209090055872,표현상의 특징을 체크하고 싶다면 머리를 체크하라는 건가요?
grm2208100075711,이거 문과 문제 맞나요.
grm2210170109363,이틀 지났지만 오답 중 이것도 틀리는데 모의평가는 어떻게 볼지요.
grm2208230077569,이 방식대로 가도 괜찮을까요?
grm2209200111660,제발 대학 가야 꽃이 필 거 같다.
grm2207150018635,다들 너무 좋아해 주셔서 시험만 끝나고 파일 만들어서 배포하려고 합니다!
grm2208230060413,혹시 작년도 강의를 수강하고 있다면 그대로 수강하는 것이 좋을까요?
grm2207050037609,학점을 전혀 관리할 생각이 없는 경우가 아니라면 대부분 무난히 유급하지 않고 넘어간다고 하네요.
grm2209270109380,나중에 중간고사 끝나고 밥 한 번 사드릴게요.
grm2207150012591,유명한 이비인후과 찾아봐야겠어요.
grm2207270039560,저는 개인적으로 과학이 훨씬 어려웠어요!
grm2208230042571,적용 범위라는 표현도 괜찮을 것 같아요.
grm2208100091829,목적격 보어로 부사가 올 수 있나요?
grm2207150033928,이번에도 정성 가득한 해설 감사합니다.
grm2207250018698,막상 어렵지 않은 거랑 비슷한 느낌일 거예요.
grm2207010001627,쉬는 시간 쪼개서 공부하면 당장은 다른 친구들이랑 다를 거 없게 느껴져도 성적 나올 때 분명히 변화가 있을 거예요.
grm2206200008854,수강평에는 더 이상 의미 있는 글이 없어서 조교님께 여쭙니다.
grm2206230015915,"논술 시험이 수능보다 늦게 치러지는 경우, 가채점 결과를 가지고 논술을 안 치는 선택을 할 수는 있습니다."
grm2210170118063,근본적인 건 꽤나 겹칠 듯싶네요.
grm2209080080098,아니면 이 문제에서만 성립하는 건가요?
grm2207040009704,영어를 정말 언어적으로 공부할 거면 영어영문학과가 맞긴 한다.
grm2210180104708,일본이랑 중국 지금 다 그러고 있는 거 같던데요.
grm2209190112416,"실제로 최저 충족률도 적어서 저 말이 맞다고 생각했는데, 어쨌든 조금 완화된 거라, 전보다는 조금 더 늘어났다고 생각해요!"
grm2209140105150,요즘엔 태어나면서 영어에 노출 많이 시키잖아.
grm2208050082210,게시판 운영 수칙에 따라 선생님 수업을 수강하지 않고 하는 질문은 답변이 제한됩니다.
grm2208020041279,중향성을 바라보며 천지가 자연이 되었다고 본 것은 조물주가 천지를 만든 게 아닌 것 같다는 생각이잖아요.
grm2207180002662,몰 농도 계산하고 중화 적정 찾는 게 조금 어려움.
grm2209200110834,읽으면서 표시를 하시나요?
grm2208180082578,공기업 민영화에 대한 전반적인 이해가 부족합니다.
grm2209270117283,공부하기 싫을 때 어떻게 하셨는지 궁금해요!
grm2206140057808,하고 있다면 어떻게 볼 수 있는지 궁금해요!
grm2208110080727,"이처럼 나라마다 처해 있는 지형, 기후와 같은 환경을 이유로 가옥에 구조가 다르게 나타난다."
grm2207130011935,귀찮음 무릎 쓰기 가능이라고요...?
grm2209190112975,여러분 기지개 켜서 기흉이 생긴 건지는 저도 모릅니다.
grm2208100079589,직선과 원의 방정식 파트는 언제 강의가 올라오나요.
grm2207050016336,오늘 올리신 통계 같은 거 어디에 있나요?
grm2207040029923,선지에 나온 모든 단어를 외우라는 것은 아니다.
grm2209150118505,불필요한 내용이 들어가서 공간 낭비가 됩니다.
grm2207010019584,이런 결 보고 재능이라 하는 겁니다.
grm2210060105730,인도네시아 강진이라는데 앞으로 가기 무서울 거 같지 않아?
grm2210060102966,얼굴 보면서 같이 과제 하면 되지.
grm2207080002377,안 그래도 내신으로 하는데 수능? 나 대학 못 가게 하려고 아주 그냥.
grm2207270037587,그러니 재수하면서 정시 준비를 제대로 한 기분 같습니다.
grm2210060117466,대충 지금 어느 정도라는 판단만 받았다.
grm2209130111833,알아야 하는 개념들도 정리해 주시면 안 될까요?
grm2208190082135,이런 건 수능에서 어떻게 판단하나요?
grm2208080085819,또한 사회의 문화적 다양성에 기여할 수 있나요?
grm2207070001875,저도 그냥 차라리 하루에 몰아서 쉬고 싶어요.
grm2209080089780,비공식적 사회화 기관을 어떻게 판단해야 하나요?
grm2210140114524,시간별 알람 굉장히 많아요.
grm2206270013255,꼭 연세대 의대 가셔서 마스터 뱃지까지 달아 주세요.
grm2208050081218,하는 것을 보아 우선적으로 수행해야 할 역할을 가려냈다고...
grm2207080037804,다시 쭉 보면서 마음 다잡고 있습니다!
grm2210190113474,애초에 이런 사건 도와줄 법무팀도 많이 없고요.
grm2208110042985,기출 분석이면 개념 같은 건 설명 안 해주시는 건가요?
grm2208180092635,답변에 따로 연락 취하면 좋을 거 같다고...
grm2209130102245,어디 영상도 찍어서 온라인에서 팔아먹었을 거 같아.
grm2210110116698,이건 제 명언 아니지만 진짜 인생 선배 같네요.
grm2210060110773,학생분이 꾸준히 해오던 것에 믿음을 갖고 조금만 더 버티자고요.
grm2207270009194,약대 학부 전환 아니었음 그냥 다녔을 거 같네요.
grm2209290109004,수능 썰은 여기서 끝났습니다.
grm2209010086076,오타인가 싶어 질문합니다.
grm2207120004218,저희 예전 담임선생님이 영남대 약대 진짜 가기 힘들다 하셨어요.
grm2209130116121,저런 거 안 주고 그냥 교장 선생님 사진만 준다.
grm2209070054788,해설을 읽어 보니 장애물이 없다고 가정하셨다.
grm2209010086810,가설 검증이 곧 결과 도출과 같다고...
grm2206280035866,이거 사용하셔서 예쁜 이미지만 들어 보세요!
grm2210190116506,처리할 자료 해석 능력이 없으면 좋은 등급이 안 나오거든요.
grm2207010019319,영어를 보완하는 게 좋을 것 같아 보여요.
grm2207040027529,다만 기출을 혼자 먼저 풀고 분석했다.
grm2206170049938,다른 선지 형문제는 어려운 정답과 높은 오답률도 틀리지 않았어요.
grm2206130084224,하셨는데 강좌를 찾을 수가 없어서요!
grm2210140099176,내 친구네는 사업하는데 자기네는 안 주고 소상공인들한테만 준다고 속상해해.
grm2209080092707,강의에선 후자에 초점을 맞춰서 설명하시네요.
grm2207140030108,적성에 맞지 않는다고 느끼면 취소도 가능하고요.
grm2207150000188,주변에 다 들으니까 들어야 하나 싶기도 하고요.
grm2210110101249,여러 가지 사건들이 같이 뒤섞이면서 일어나는 거지.
grm2208030078273,밑에 첨부한 문제를 풀며 헷갈리네요.
grm2207110021711,그래서 웬만한 위급 상황이 아니라면 최대한 지급받은 사인펜을 쓰시는 게 좋습니다.
grm2208190044803,"존재자는 도구이기도 하고, 도구의 본질은 존재를 드러내는 거라니까 왠지 맞는 것 같다."
grm2209210098757,"석사 학위 논문 표지 제목, 이런 거부터라도 쓰기 시작했는데 규정이 엄청 까다로워서 서식 맞추는 것도 일이다."
grm2209220109122,지금 드시면 맛은 완전 보장 가능해요.
grm2207070021213,저희 학교 선생님도 사탐 점수 안 나오는 애들한테 추천해 준 방식인데 다들 효과 보더라고요.
grm2208190082323,혹시 안 된다면 그 이유가 무엇인지 궁금합니다.
grm2207210021585,오늘도 우리 같이 으쌰으쌰 해 봐요.
grm2207040022959,수험생들이 많은 풀이법을 접하다 보니 오히려 본질에서 멀어지고 있는 것 같습니다.
grm2207070012773,정말 넓은 범위의 공간으로 인식해야 하는 거죠?
grm2209230119727,내가 저걸 썼다면 울 엄마가 저렇게 말하지 않을까.
grm2210190118654,공부 잘 못 하는데 일단 여러 요건 때문에 독학으로 결정했습니다!
grm2207200010064,모의고사 풀 때 틀린 문제만 분석하고 오답하셨나요?
grm2206130068803,어떤 강좌를 듣고 무엇을 해야 할까요?
grm2209060050138,만약 그림과 같이 장애물이 있다고 한다면 실제 단말기의 위치는 어떻게 구하나요?
grm2208180088845,어떻게 하면 계산을 쉽게 할 수 있죠?
grm2207200028466,건강기능식품은 안 먹고 급식을 엄청 많이 먹었네요.
grm2207280012075,교류가 아예 없어서 국문과 쪽은 잘 모르겠지만요.
grm2206300037357,정답률이 높지 않다는 것은 대충 확인하고 풀었다는 거 같아요!
grm2209130112882,둘 다 불교적 귀의로 태도의 변화가 완벽하게 이루어지는 작품이다.
grm2209220101463,지방에서 졸업하고 서울 어학당으로 못 가는 건 아니지만 은근 인식 차이가 있으니까요.
grm2208010073461,"선생님께서 강의 중에 충돌 직후의 속력이 동일하면 융합된 것이라고 말씀하셨는데, 충돌 직후 두 물체의 속력이 동일할 때 따로 이동하는 경우는 아예 존재하지 않는 것인가요."
grm2210200107638,건축은 적성에 안 맞으면 힘들어하는 친구도 많긴 한 거 같아요.
grm2209090044663,제가 선생님 인강을 베이스로 국어 공부를 하는 게 아니라 책을 구매하지 않았습니다.
grm2207280039557,질문은 언제든 편하실 때 주세요.
grm2206290019148,모의고사 볼 때도 점심 먹고 커피 추천드려요!
grm2209210116771,피곤한 게 저도 제일 문제였는데 그냥 중간중간 쪽잠 자주려고 했어요!
grm2207080024725,생기부에서 작가에 따라 지장이 있을 수 있나요?
grm2208160072967,문제 오류를 혹시 따로 공지하지는 않습니까?
grm2207040001829,수학 좋아하시는 거 너무 부럽습니다!
grm2209200110293,문제에 오류가 몇 개 있네요.
grm2208290042409,제가 읽으면서 쓰는 습관이 있는데요.
grm2209290113134,그리고 올해 거 개념 강의 당연히 작년 기출 내용 부분은 더 강조해서 말씀하셔서 그럴 수도 있고요!
grm2208100057037,어떤 맥락에서 이런 표현이 나올 수 있는지 잘 모르겠어요.
grm2209140114335,확립이 아니라 개척이라니요.
grm2208020045317,여러 문제집을 풀어봤는데 국어 점수가 움직이질 않아서...
grm2209220110290,마스터님 저도 고대 가고 싶은데 혹시 등급대도 알려주실 수 있나요?
grm2206300010897,제가 쓴 고전 읽기 칼럼에서도 강조했어요.
grm2209230099874,수업 세 개만 듣기는 너무 아깝기도 하고 교양 세 개도 대면으로 하고 일도 하나 하기로 해서 가려고요.
grm2206300034023,학생분도 제가 많이 도와드리겠습니다.
grm2206170051453,아님 독서는 연계율이 낮은가요?
grm2208110074862,어떻게 이해해야 좋을까요?
grm2208030079194,"하셨는데, 이렇게 해도 괜찮나요?"
grm2210070112795,개학날까지 완전 연소하고 갑시다!
grm2208260051323,극복할 수 없는 운명을 지닌 화자를 뜻하지 않는다.
grm2208050057892,왜 대한민국은 정부 수립이고 북한은 정권이라고 하는 것인가요?
grm2208310072634,두 그림의 상황이 모순되어 문제 풀이가 불가능한 것 같습니다.
grm2210130117750,에너지 방출한다고 표현합니다.
grm2209010056109,그리고 소설은 가장 성실한 자기 진술이다.
grm2207110032390,백분위가 좀 맘에 안 들긴 하지만...
grm2206240001395,다들 수능 특강 어떤 거 구매하세요?
grm2209090053471,수강할 때 구매하는 교재와 일치하나요?
grm2206290022449,학생분들이 많이 헷갈려 하시는 것 같아서 한번 찍어 보았습니다.
grm2206220030201,목표 달성까지 분명 도움이 되겠죠.
grm2209140112607,분명 축하해 줄 일이고 그래서 겉으로는 축하해 줘요.
grm2206210025831,저는 그랬더니 도움이 많이 되었습니다.
grm2209090078327,이 문제의 원형이 있다고...
grm2209010092574,아니면 다르게 복습하는 방법 추천해 주실 수 있나요?
grm2207290012731,모의고사는 시간 같은 걸 어느 정도로 두고 푸나요?
grm2208230061125,"당시 맺은 형제 관계에서 한 이 동생인가요, 형인가요?"
grm2206240001020,그래도 너무 숫자에 연연하진 마시고 하는 대로 쭉 공부하세요.
grm2206210011136,나름 다 생각해서 그린 거랍니다.
grm2209260107420,안 들어가고 집에서 했었습니다.
grm2209230106068,철학 서적이 있으면 그 의미에 대해 해설하는 발표?
grm2206220032555,재수반이나 학원은 따로 다니셨나요?
grm2207250019124,한국사 아무것도 안 되어 있는데요.
grm2208230068931,그렇다면 파장과 진동수는 어떻게 되는 건가요?
grm2209290118539,어제까지만 해도 공부 집중 안 됐는데 오늘은 개운하다!
grm2208190075699,따로 계획된 커리큘럼은 없으신 거죠?
grm2209300116409,도선과 멀어지고 있으므로 바닥으로 꽂히는 자기 선속이 줄어들고 있으므로 원형 도선에선 자기장이 바닥으로 꽂히게 하는 유도 전류가 흐름.
grm2208090085800,아니면 이 책 그대로 새로운 강의가 안 올라오나요?
grm2206300017157,연대는 포함 안 된다는 거 누구보다 잘 알 텐데요.
grm2208100082699,보는 것은 아니지 않나요.
grm2208160090977,강의를 두 번째 듣고 있는 학생입니다.
grm2209150105358,"사형 제도는 진행되어야 합니까, 폐지되어야 합니까?"
grm2209290117016,지식이 빠삭한 마스터님 환영합니다!
grm2208110061499,둘 중에 어느 것이 맞는 건가요?
grm2209140106981,약대와 의대의 차이로 보시면 더 쉽게 다가오실 것 같습니다.
grm2210060111337,그렇지만 다른 사탐 과목에 비해 난이도가 엄청나게 쉽기 때문에 꼭 멘탈 잡고 만점 받으셨으면 좋겠습니다.
grm2206290014443,너무 일찍 깨어나서 그런지 학원에서 공부하다가 가끔 조는 게 문제 되네요.
grm2206130041106,자기 자신이 예술의 형식이 감성이라고 정의 내렸잖아요.
grm2207040029686,그래도 최저 맞추셔서 다행이네요.
grm2209080079889,갑자기 코사인이 등장한 이유를 잘 모르겠어요.
grm2209160114265,"저 사람이 다시 또 그럴 수도 있고, 이게 진짜 반성이 아닐 수도 있지만 그렇다고 해서 그렇게 욕하지는 말아 주세요."
grm2209300118950,은근 동기부여 되고 막막함을 많이 덜어주더라고요!
grm2209060066345,힘이 오른쪽으로 작용하는데 물체가 왼쪽으로 이동할 수 있나요?
grm2208300070336,오류나 놓친 점이 있다면 어떤 건지 알고 싶습니다.
grm2206230028984,이런 유형들의 문제들을 보면 어디서부터 시작해야 하나 항상 횡설수설했어요.
grm2207120027823,제가 음악을 엄청 좋아해서 대학교에서 꼭 밴드부를 했으면 한다.
grm2207120017344,통합 검색에 노래 치면 나올 거예요.
grm2210070100019,친구 전화번호가 나랑 비슷해서 잘못 문자 보낸 거래.
grm2209220117650,남들 다 하는 건 빨리 털고 가는 게 좋아요!
grm2206160058823,농민과 소상인을 보호하는 정책이 어떤 것을 말하는 것인가요?
grm2208120044525,정보의 손실이 발생한다고 언급하지 않았다.
grm2206170064237,과거제가 없던 시대에 관리들이 어떻게 등용되었는지 궁금합니다!
grm2207110030169,지금껏 수시 내신 챙겨놓은 성적으로는 못 간다.
grm2207140003792,댓글 달린 걸 이제 봤네요.
grm2209210115950,나중에 요런 칼럼도 해 주시면 어떨까 조심스레 추천해 봅니다.
grm2209090078175,혹시 이런 태도는 나쁜가요?
grm2209150107436,이래서 주변 환경이 중요한 거임.
grm2208190065040,두 체제의 취지가 비슷한 것 같은데 너무 헷갈려요.
grm2209280113130,그런데 문제를 풀다 보면 많이 나오는 거에 익숙해지기 시작해서 틀리는 걸 수도 있고요!
grm2210060112395,미련은 자꾸 뒤돌아보게 돼요.
grm2208170073258,그럼 나뭇가지도 정지하고 있으니 가 표시하지 않은 위로 떠받치는 힘이 존재하나요.
grm2208300077798,굳이 이를 이용하지 않은 이유가 있으신가요?
grm2208300062681,이전했다면 연도도 궁금합니다.
grm2206140079850,하였는데 이 내용과 관련된 강의는 어디서 볼 수 있나요?
grm2208310085080,강의를 듣던 도중 질문이 생겨 이렇게 올리게 되었습니다.
grm2207080033691,이거 진짜 구체적이라 도움 많이 되네요. 감사합니다!
grm2208260056927,했는데 제 필기가 맞는지 확인하고 싶습니다!
grm2209200110717,"태도도 체념, 순응이라고 하셨는데요."
grm2209010053688,제가 시 부분이 약해서 얼른 듣고 싶습니다.
grm2208030081709,전통적 매체가 만드는 대중의 정치적 무관심의 예로는 뭐가 있을까요.
grm2207280017429,무슨 문제를 말씀하시는 건지 알려주실 수 있나요?
grm2208030087390,그리고 학생들이 만드는 자율 동아리는 비공식 조직이죠?
grm2207070024258,혹시 고등학생은 내신 대비를 보통 얼마나 해야 하나요?
grm2206150068999,그리고 보통 진동수와 주기는 불변이니까 파장이나 속력보단 진동수와 주기로 푸는 풀이가 더 낫나요?
grm2208250054201,전체적인 흐름 위주로 보려고 노력하며 읽는데 문제에서 세부적인 걸 물어볼 때가 있잖아요.
grm2209230117307,님 풀이 과정 보고 제가 예상한 것 말해도 괜찮을까요?
grm2208010087323,사회 조직과 사회 집단은 같은 말인가요?
grm2208260077147,하셨는데 이 부분이 이해가 가지 않습니다.
grm2209080078022,터라 제 실력대로 잘 나온 점수 같습니다.
grm2206220027172,지구는 친구 말대로 많이 지엽적이에요.
grm2206170065134,그리고 모든 곡선 운동의 운동 방향은 그 순간의 접선의 방향이라고 보면 되나요?
grm2209080059408,부여는 도시가 아니라 나라인데 강의에서는 왜 도시라고 했나요?
grm2209290115264,오늘 강사님들 정모가 있었습니다.
grm2209280109691,듣고 풀 때는 큰 어려움이 없었습니다!
grm2206300000015,문제 첫 줄만 읽어도 풀이 과정과 답이 기억날 정도로 반복했습니다.
grm2208260064142,"당나라 중기 이후의 금지 정책은 면세, 면역 특권을 금지했다는 건가요?"
grm2209230108839,통화량은 통화 거래가 활발한 정도예요?
grm2210110099985,"방금 자리 뺏김, 접수 지역이 없어."
grm2206150067076,변위는 비교할 수 없는 값이라 크기를 물어야 하는 것이 맞나요?
grm2208300064337,십자군 전쟁은 교황의 권위가 땅에 떨어지는 계기가 된 것 아니었나요?
grm2207120017370,수시로 의대를 쓸 생각이에요.
grm2207190025323,학교들이 미적만 내는 경우가 많은가요?
grm2208170067723,생각했는데 제 생각에 문제가 있나요?
grm2209130108972,확실히 성적은 오를 거예요.
grm2207290009524,그런데 이후에 자리잡았다는 얘기만 있어서요!
grm2208110044902,다만 그들을 빙자하는 놈들이 도덕이 아니겠소?
grm2208190077130,일일이 다 질문을 올려야 하나요?
grm2208050074790,방향을 잡을 수 있도록 도와주세요.
grm2207060003614,졸릴 때 기를 쓰고 악을 쓰면 무의식적으로 자게 되는 능력을 얻었어요.
grm2209200117780,이번 수능 수학 만점 가능하실 거예요!
grm2208160081071,하셨던 거 같은데 성립되려면 조건이 뭐가 있을까요?
grm2209220104978,그냥 검사하고 음성만 뜨면 됐다.
grm2208310042761,성품에 초점을 맞추는 덕의 윤리의 관점에서 보면 아직도 도덕적 평가가 운에 따라 달라진다고 할 수 있지 않나요?
grm2207260014978,오늘은 일찍 일어나야지 하면서도 침대에서 일어나는 게 너무 힘들어요.
grm2207040017292,개념 강의에서 우박하면서 과냉각 물방울이 뭔지 알려줬기 때문에 기억하고 풀 수 있었어요!
grm2208220073160,문제를 많이 풀어서 스스로 구분하는 힘을 길러야 하나요?
grm2207010021547,단 한 번도 분량 조절에 성공한 적이 없어요.
grm2206240036503,엄청난 차이는 없을 거예요.
grm2208120080929,사진 속에 질문이 있습니다!
grm2210040099911,쇠판에 아크릴판을 실리콘으로 연결 작업 가함.
grm2207130031514,꼭 정중앙에 똑바로 두고 풀어야 하나요?
grm2207260027537,아예 최저도 못 맞출 가능성이 너무 크다.
grm2207200029235,최대 다른 문제를 빨리 접하라는 식으로 공부했습니다.
grm2207190034334,벌써 고등학교 시절을 그리워하게 될 줄이야.
grm2209130107768,제 생각엔 처음부터 끝까지 보면서 빠뜨린 부분 없나 체크하는 것도 좋을듯해요.
grm2207070010118,지방에서 대학 가신 거면 서울 생활 얘기 해 주세요!
grm2207190002119,최고가 아니어도 매일매일 본인을 덮어주면 언젠간 나도 다른 사람도 덮어 줄 수 있지 않을까.
grm2206170065909,언제 올라오는 것으로 예정되어 있나요?
grm2208180068263,"했는데, 전도 띠는 전자에 의해서 점유되지 않은 공간이니까 둘 다 전자가 없는 것 아닌가요?"
grm2207120035261,예전 영상 돌려보며 기다렸네요.
grm2207140015489,그런데 왜 듣다 보니 중간에 기억이 없죠?
grm2210200112854,깊게 그 분야 쪽으로 갈 거 아니면 어차피 계산 과정 복잡해지는 그런 연산 안 하고 간단하게 때우거든요.
grm2210130114802,님처럼 자는 환경을 살짝 바꿔 보시는 것도 괜찮을 듯하네요.
grm2209080061972,선생님께서 장원 안에는 농노가 살고 있다고...
grm2206220022533,내가 유리한 위치에 있는 학교가 잘립니다.
ext0000000120710,화폐 단위를 바꿔 새 돈을 발행하면 지하로 숨었던 돈이 나올 수밖에 없고 세수도 확충된다.
grm2206210000504,관심이 필요하심 공부해서 인서울 해 가지고 마스터 돼서 해도 되는 거잖아.
grm2209020045265,어디까지가 어간이고 뭐가 어미인가요?
grm2208030053450,속미인곡 강의 듣다가 궁금한 점이 있어서 질문드립니다.
grm2206210036350,지문에 개념 정의 된 거 잘 정리하면서 풀어야겠어요!
grm2209130113638,그러니 님도 욕은 하지 마세요.
grm2206140043622,그 지문들의 파일이 제공되나요?
grm2209300114457,딱 보면 어려워 보이긴 하네요.
grm2206140090772,현대 얘기가 너무 고대랑 상반되는 거 아닌가요?
grm2208170050418,진짜 소량이라도 괜찮으니까 꼭 부탁드려요.
grm2209210119341,"그냥 아, 길 가다 돌 맞았구나 하고 넘어가세요."
grm2210190113175,마스터님도 올리시셨었습니다!
grm2207210019036,열심히 하는 사람은 어떻게든 된다는 걸 느끼고 갑니다..!
grm2208030088322,그렇다면 사생활 관련 정보의 정의는 무엇인가요?
grm2207080029312,저도 옮기려고 했는데 모집 조건이 바뀌면서 최저 등급에 걸려서 못 갔어요.
grm2208030064372,제가 어디서 잘못 이해해서 계산하고 있는 건가요?
